name,category1,category2,category3
タンタンメン,中華,高,米・粉
酢豚,中華,高,肉・魚
チンジャオロース,中華,高,肉・魚
ホイコーロー,中華,高,肉・魚
エビマヨ,中華,高,肉・魚
しょうゆラーメン,中華,中,米・粉
チャーハン,中華,中,米・粉
ギョウザ,中華,中,肉・魚
シュウマイ,中華,中,肉・魚
エビチリ,中華,中,肉・魚
肉まん,中華,中,肉・魚
バンバンジー,中華,中,肉・魚
麻婆豆腐,中華,中,野菜
マーボ茄子,中華,中,野菜
春巻き,中華,中,野菜
八宝菜,中華,低,野菜
野菜炒め,中華,低,野菜
ハヤシライス,洋食,高,米・粉
パエリア,洋食,高,米・粉
ハンバーグ,洋食,高,肉・魚
エビフライ,洋食,高,肉・魚
フライドチキン,洋食,高,肉・魚
ステーキ,洋食,高,肉・魚
カツカレー,洋食,高,肉・魚
グラタン,洋食,中,米・粉
オムライス,洋食,中,米・粉
チキンカレー,洋食,中,米・粉
ビーフカレー,洋食,中,米・粉
ポークカレー,洋食,中,米・粉
野菜カレー,洋食,中,米・粉
ミートスパゲッティ,洋食,中,米・粉
たらこスパゲッティ,洋食,中,米・粉
スパゲッティ,洋食,中,米・粉
ピザ,洋食,中,米・粉
ハンバーガー,洋食,中,肉・魚
ソーセージ,洋食,中,肉・魚
シチュー,洋食,中,肉・魚
コロッケ,洋食,中,野菜
フライドポテト,洋食,中,野菜
サンドイッチ,洋食,低,米・粉
目玉焼き,洋食,低,肉・魚
チーズ,洋食,低,肉・魚
サラダ,洋食,低,野菜
コーンポタージュ,洋食,低,野菜
とんこつラーメン,和食,高,米・粉
家系ラーメン,和食,高,米・粉
ツナマヨおにぎり,和食,高,米・粉
唐揚げ,和食,高,肉・魚
焼肉,和食,高,肉・魚
すき焼き,和食,高,肉・魚
しゃぶしゃぶ,和食,高,肉・魚
とんかつ,和食,高,肉・魚
焼き鳥,和食,高,肉・魚
天ぷら,和食,高,野菜
焼きそば,和食,中,米・粉
お好み焼き,和食,中,米・粉
たこやき,和食,中,米・粉
みそラーメン,和食,中,米・粉
塩ラーメン,和食,中,米・粉
しゃけおにぎり,和食,中,米・粉
たらこおにぎり,和食,中,米・粉
生姜焼き,和食,中,肉・魚
お刺身,和食,中,肉・魚
うなぎ,和食,中,肉・魚
豚汁,和食,中,肉・魚
いくらのお寿司,和食,中,肉・魚
サケのお寿司,和食,中,肉・魚
玉子のお寿司,和食,中,肉・魚
お寿司,和食,中,肉・魚
いなり寿司,和食,低,米・粉
おかかおにぎり,和食,低,米・粉
塩おにぎり,和食,低,米・粉
うどん,和食,低,米・粉
そば,和食,低,米・粉
焼き魚,和食,低,肉・魚
煮魚,和食,低,肉・魚
たらこ,和食,低,肉・魚
茶碗蒸し,和食,低,肉・魚
おでん,和食,低,野菜
枝豆,和食,低,野菜
お漬物,和食,低,野菜